carBrand,carModel,carType,problemCode,problemCodeproblemCode,problemDatetime,problemDescription,problemId,problemStatus
奇瑞汽车,艾瑞泽5,2016款 1.5L 手动 领臻版,"H103,",,2021-02-05,奇瑞艾瑞泽5安全气囊故障灯常亮,570638,信息审核
广汽丰田,凯美瑞,2015款 2.0G 自动 领先版,"H169,",,2021-02-05,广汽丰田凯美瑞主驾驶座椅靠背调节异响,570626,信息审核
上汽大众,Polo,2014款 1.4L 手动 风尚版,"I293,K307,",,2021-02-05,上汽大众Polo 4S店虚报维修价格 服务态度差,570624,信息审核
奇瑞汽车,瑞虎8,2019款 1.6TGDI 自动 豪华型,"H110,",,2021-02-05,奇瑞瑞虎8无法启动需要换电器盒总成,570621,信息审核
上汽通用五菱,宝骏360,2021款 1.5L 手动 精英型,"H109,H30,",,2021-02-05,上汽通用五菱宝骏360排气管漏水生锈,570618,信息审核
东风日产,劲客,2017款 1.5L CVT 酷享版,"D59,",,2021-02-05,东风日产劲客方向盘转向出现异响,570617,信息审核
广汽本田,雅阁,2021款 260TURBO 豪华·星空限量版,"M279,",,2021-02-05,广汽本田雅阁限量版车标颜色宣传不符,570615,信息审核
奇瑞汽车,瑞虎8 PLUS,2021款 290TGDI DCT 豪耀版,"A34,",,2021-02-05,奇瑞瑞虎8 PLUS更换凸轮轴电磁阀无法解决,570614,信息审核
广汽丰田,YARiS L 致享,2019款 1.5E CVT魅动版 国VI,"D154,",,2021-02-05,广汽丰田致享方向盘不回正希望处理,570612,信息审核
一汽-大众奥迪,奥迪A4L,2020款 40 TFSI 时尚动感型,"H134,",,2021-02-05,一汽大众奥迪A4L中控显示屏死机黑屏,570611,信息审核
广汽丰田,雷凌,2021款 双擎 1.8H E-CVT 豪华版,"A339,A13,H134,H89,I294,",,2021-02-05,广汽丰田雷凌机油增多乳化天窗中控屏异响,570610,信息审核
比亚迪,比亚迪G5,2014款 1.5TID 自动 旗舰型,"A44,E29,H170,",,2021-02-05,比亚迪G5发动机无法启动 刹车失灵,570603,用户评分
广汽丰田,雷凌,2021款 双擎 1.8H E-CVT 豪华版,"H89,",,2021-02-05,广汽丰田雷凌不平路面行驶时天窗异响,570602,信息审核
东风日产,轩逸,2020款 1.6L XL CVT 悦享版,"D59,G52,H134,H72,H93,",,2021-02-05,东风日产轩逸方向盘异响 中控黑屏 影像蓝屏,570601,信息审核
江淮汽车,嘉悦A5,2020款 1.5T CVT 超越型,"A38,B19,H168,H50,",,2021-02-05,江淮嘉悦A5发动机异响 变速箱顿挫 部件开裂,570599,处理反馈
东风日产,逍客,2017款 2.0L CVT 智享版 国VI,"A34,B334,",,2021-02-05,东风日产逍客发动机故障灯亮 无法加速,570598,信息审核
奇瑞汽车,瑞虎8,2020款 1.5TCI 自动 特供版 5座,"D80,D156,H93,",,2021-02-05,奇瑞瑞虎8中控异响 方向盘共振左轻右重,570597,信息审核
上汽大众,辉昂,2019款 380TSI 两驱 商务版 国V,"A24,B33,B19,",,2021-02-05,大众辉昂行驶时变速箱顿挫异响 发动机抖动,570595,处理反馈
广汽本田,飞度,2014款 1.5L CVT LX舒适型,"A44,",,2021-02-05,广汽本田飞度启动机故障导致启动困难,570593,信息审核
奇瑞汽车,奇瑞E5,2011款 1.5 手动 优悦型 E5,"A255,H81,H78,",,2021-02-05,奇瑞E5漆面掉漆供油不足导致无法加速,570590,厂家受理
一汽-大众,探岳,2019款 征途版 280TSI 两驱 豪华型 国Ⅵ,"H82,",,2021-02-05,一汽大众探岳大灯水雾影响行车安全,570586,信息审核
一汽-大众,迈腾,2018款 330TSI DSG 豪华型,"B20,B96,",,2021-02-05,一汽大众迈腾变速箱无奇数挡仪表盘故障报警,570584,信息审核
东风日产,天籁,2021款 2.0L XL 舒适版,"H72,",,2021-02-05,东风日产天籁行驶过程中车门有异响,570582,信息审核
一汽-大众,高尔夫,2021款 280TSI DSG R-Line,"N317,",,2021-02-05,一汽大众高尔夫螺丝孔有瑕疵无法安装车牌,570580,信息审核
一汽丰田,锐志,2007款 2.5V 导航版 新锐志REIZ,"H176,",,2021-02-05,一汽丰田锐志中控仪表台开裂老化,570578,信息审核
一汽-大众,高尔夫,2017款 1.6L 自动 舒适百万辆纪念版,"H147,",,2021-02-05,一汽大众高尔夫加满油低速踩刹车油箱异响,570576,信息审核
长安福特,锐际,2020款 EcoBoost 245 四驱 纵享款 ST-LINE,"J300,",,2021-02-05,长安福特锐际经销商喷漆色差明显,570575,厂家受理
江铃汽车,驭胜S350,2016款 2.4T 自动 两驱 柴油 豪华版 5座,"B33,",,2021-02-05,江铃驭胜S350变速箱换挡时有异响,570571,信息审核
一汽奔腾,奔腾T77,2020款 PRO 280 TID 自动 尊享型,"H146,",,2021-02-05,一汽奔腾T77电瓶亏电导致无法启动,570569,厂家受理
东风雪铁龙,雪铁龙C3-XR,2015款 1.6THP 自动 先锋型 5座,"A63,",,2021-02-05,东风雪铁龙C3-XR发动机严重烧机油,570568,信息审核
长安福特,翼虎,2018款 EcoBoost 180 两驱 豪翼型,"A191,",,2021-02-05,长安福特翼虎防冻液异常消耗希望处理,570563,厂家受理
江淮汽车,嘉悦A5,2020款 1.5T CVT 梦想型,"A9,A38,",,2021-02-05,江淮嘉悦A5低速行驶时发动机噪音过大,570562,处理反馈
上汽大众,桑塔纳,2021款 1.5L 手动 风尚版,"O353,",,2021-02-05,上汽大众桑塔纳购车后不给保养手册,570560,处理反馈
